"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
7.196987300E-2,6.500000000E0
7.459387300E-2,6.500000000E0
7.721887300E-2,6.500000000E0
7.984287300E-2,6.500000000E0
8.246787300E-2,6.500000000E0
8.509187300E-2,6.500000000E0
8.771687300E-2,6.500000000E0
9.034087300E-2,6.500000000E0
9.296587300E-2,6.500000000E0
9.558987300E-2,0.000000000E0
2.241908730E-1,6.500000000E0
2.268158730E-1,6.500000000E0
2.294398730E-1,6.500000000E0
2.320648730E-1,6.500000000E0
2.346888730E-1,6.500000000E0
2.373138730E-1,6.500000000E0
2.399378730E-1,6.500000000E0
2.425628730E-1,6.500000000E0
2.451868730E-1,6.500000000E0
2.478118730E-1,6.500000000E0
2.504358730E-1,0.000000000E0
2.740568730E-1,6.500000000E0
2.766808730E-1,6.500000000E0
2.793058730E-1,6.500000000E0
2.819298730E-1,6.500000000E0
2.845548730E-1,6.500000000E0
2.871798730E-1,6.500000000E0
2.898038730E-1,6.500000000E0
2.924288730E-1,6.500000000E0
2.950528730E-1,6.500000000E0
2.976778730E-1,6.500000000E0
3.003018730E-1,6.500000000E0
3.029268730E-1,6.500000000E0
3.055508730E-1,6.500000000E0
3.081758730E-1,6.500000000E0
3.107998730E-1,6.500000000E0
3.134248730E-1,6.500000000E0
3.160488730E-1,6.500000000E0
3.186738730E-1,6.500000000E0
3.212978730E-1,6.500000000E0
3.239228730E-1,0.000000000E0
4.262788730E-1,6.500000000E0
4.289028730E-1,6.500000000E0
4.315278730E-1,6.500000000E0
4.341518730E-1,6.500000000E0
4.367768730E-1,6.500000000E0
4.394008730E-1,6.500000000E0
4.420258730E-1,6.500000000E0
4.446498730E-1,6.500000000E0
4.472748730E-1,6.500000000E0
4.498988730E-1,6.500000000E0
4.525238730E-1,6.500000000E0
4.551478730E-1,6.500000000E0
4.577728730E-1,6.500000000E0
4.603968730E-1,6.500000000E0
4.630218730E-1,6.500000000E0
4.656458730E-1,6.500000000E0
4.682708730E-1,6.500000000E0
4.708948730E-1,6.500000000E0
4.735198730E-1,6.500000000E0
4.761438730E-1,6.500000000E0
4.787688730E-1,0.000000000E0
5.023888730E-1,6.500000000E0
5.050138730E-1,6.500000000E0
5.076378730E-1,6.500000000E0
5.102628730E-1,6.500000000E0
5.128878730E-1,6.500000000E0
5.155118730E-1,6.500000000E0
5.181368730E-1,6.500000000E0
5.207608730E-1,6.500000000E0
5.233858730E-1,6.500000000E0
5.260098730E-1,6.500000000E0
5.286348730E-1,0.000000000E0
5.548798730E-1,6.500000000E0
5.575038730E-1,6.500000000E0
5.601288730E-1,6.500000000E0
5.627528730E-1,6.500000000E0
5.653778730E-1,6.500000000E0
5.680018730E-1,6.500000000E0
5.706268730E-1,6.500000000E0
5.732508730E-1,6.500000000E0
5.758758730E-1,6.500000000E0
5.784998730E-1,6.500000000E0
5.811248730E-1,0.000000000E0
6.047448730E-1,6.500000000E0
6.073698730E-1,6.500000000E0
6.099938730E-1,6.500000000E0
6.126188730E-1,6.500000000E0
6.152428730E-1,6.500000000E0
6.178678730E-1,6.500000000E0
6.204918730E-1,6.500000000E0
6.231168730E-1,6.500000000E0
6.257418730E-1,6.500000000E0
6.283658730E-1,6.500000000E0
6.309908730E-1,0.000000000E0
7.832118730E-1,6.500000000E0
7.858368730E-1,6.500000000E0
7.884608730E-1,6.500000000E0
7.910858730E-1,6.500000000E0
7.937098730E-1,6.500000000E0
7.963348730E-1,6.500000000E0
7.989588730E-1,6.500000000E0
8.015838730E-1,6.500000000E0
8.042078730E-1,6.500000000E0
8.068328730E-1,6.500000000E0
8.094568730E-1,0.000000000E0
1.011544873E0,6.500000000E0
1.014168873E0,6.500000000E0
1.016793873E0,6.500000000E0
1.019417873E0,6.500000000E0
1.022042873E0,6.500000000E0
1.024666873E0,6.500000000E0
1.027291873E0,6.500000000E0
1.029915873E0,6.500000000E0
1.032540873E0,6.500000000E0
1.035164873E0,6.500000000E0
1.037789873E0,6.500000000E0
1.040413873E0,6.500000000E0
1.043038873E0,6.500000000E0
1.045662873E0,6.500000000E0
1.048287873E0,6.500000000E0
1.050911873E0,6.500000000E0
1.053536873E0,6.500000000E0
1.056160873E0,6.500000000E0
1.058785873E0,6.500000000E0
1.061409873E0,6.500000000E0
1.064034873E0,6.500000000E0
1.066658873E0,6.500000000E0
1.069283873E0,6.500000000E0
1.071908873E0,6.500000000E0
1.074532873E0,6.500000000E0
1.077157873E0,6.500000000E0
1.079781873E0,6.500000000E0
1.082406873E0,6.500000000E0
1.085030873E0,6.500000000E0
1.087655873E0,6.500000000E0
1.090279873E0,6.500000000E0
1.092904873E0,6.500000000E0
