"Time (s)","Illuminance (lx)"
0.000000000E0,1.937500000E1
1.834060200E-2,1.937500000E1
2.847260200E-2,1.937500000E1
3.860460200E-2,1.937500000E1
4.125960200E-2,1.937500000E1
4.388360200E-2,1.937500000E1
4.650860200E-2,1.937500000E1
4.913260200E-2,1.937500000E1
5.175760200E-2,1.937500000E1
5.438160200E-2,1.937500000E1
5.700660200E-2,1.937500000E1
5.963060200E-2,1.937500000E1
6.225560200E-2,1.937500000E1
6.487960200E-2,1.937500000E1
6.750460200E-2,1.937500000E1
7.012860200E-2,1.937500000E1
7.275360200E-2,1.937500000E1
7.537760200E-2,1.937500000E1
7.800260200E-2,1.937500000E1
8.062660200E-2,1.937500000E1
8.325160200E-2,1.937500000E1
8.587560200E-2,1.937500000E1
8.850060200E-2,1.937500000E1
9.112460200E-2,1.937500000E1
9.374960200E-2,1.937500000E1
9.637360200E-2,1.937500000E1
9.899860200E-2,1.937500000E1
1.016226020E-1,1.937500000E1
1.042476020E-1,1.937500000E1
1.068716020E-1,1.937500000E1
1.094966020E-1,1.937500000E1
1.121206020E-1,1.937500000E1
1.147456020E-1,1.937500000E1
1.173696020E-1,1.937500000E1
1.199946020E-1,1.937500000E1
1.226186020E-1,1.937500000E1
1.252436020E-1,1.937500000E1
1.278686020E-1,1.937500000E1
1.304926020E-1,1.937500000E1
1.331176020E-1,1.937500000E1
1.357416020E-1,1.937500000E1
1.383666020E-1,1.937500000E1
1.409906020E-1,1.937500000E1
1.462396020E-1,2.575000000E1
1.488646020E-1,2.575000000E1
1.514886020E-1,2.575000000E1
1.541136020E-1,2.575000000E1
1.567376020E-1,2.575000000E1
1.593626020E-1,2.575000000E1
1.619866020E-1,2.575000000E1
1.646116020E-1,2.575000000E1
1.672356020E-1,2.575000000E1
1.698606020E-1,1.937500000E1
1.724846020E-1,1.937500000E1
1.751096020E-1,1.937500000E1
1.777336020E-1,1.937500000E1
1.803586020E-1,1.937500000E1
1.829826020E-1,1.937500000E1
1.856076020E-1,1.937500000E1
1.882316020E-1,1.937500000E1
1.908566020E-1,1.937500000E1
1.961056020E-1,2.575000000E1
1.987296020E-1,2.575000000E1
2.013546020E-1,2.575000000E1
2.039786020E-1,2.575000000E1
2.066036020E-1,2.575000000E1
2.092276020E-1,2.575000000E1
2.118526020E-1,2.575000000E1
2.144766020E-1,2.575000000E1
2.171016020E-1,2.575000000E1
2.197256020E-1,1.937500000E1
2.223506020E-1,1.937500000E1
2.249746020E-1,1.937500000E1
2.275996020E-1,1.937500000E1
2.302236020E-1,1.937500000E1
2.328486020E-1,1.937500000E1
2.354726020E-1,1.937500000E1
2.380976020E-1,1.937500000E1
2.407226020E-1,1.937500000E1
2.433466020E-1,1.937500000E1
2.459716020E-1,1.937500000E1
2.485956020E-1,1.937500000E1
2.512206020E-1,1.937500000E1
2.538446020E-1,1.937500000E1
2.564696020E-1,1.937500000E1
2.590936020E-1,1.937500000E1
2.617186020E-1,1.937500000E1
2.643426020E-1,1.937500000E1
2.669676020E-1,1.937500000E1
2.722166020E-1,2.575000000E1
2.748406020E-1,2.575000000E1
2.774656020E-1,2.575000000E1
2.800896020E-1,2.575000000E1
2.827146020E-1,2.575000000E1
2.853386020E-1,2.575000000E1
2.879636020E-1,2.575000000E1
2.905876020E-1,2.575000000E1
2.932126020E-1,2.575000000E1
2.958366020E-1,1.937500000E1
2.984616020E-1,1.937500000E1
3.010856020E-1,1.937500000E1
3.037106020E-1,1.937500000E1
3.063346020E-1,1.937500000E1
3.089596020E-1,1.937500000E1
3.115836020E-1,1.937500000E1
3.142086020E-1,1.937500000E1
3.168326020E-1,1.937500000E1
3.194576020E-1,1.937500000E1
3.247066020E-1,2.575000000E1
3.273306020E-1,2.575000000E1
3.299556020E-1,2.575000000E1
3.325796020E-1,2.575000000E1
3.352046020E-1,2.575000000E1
3.378286020E-1,2.575000000E1
3.404536020E-1,2.575000000E1
3.430776020E-1,2.575000000E1
3.457026020E-1,2.575000000E1
3.483266020E-1,2.575000000E1
3.509516020E-1,2.575000000E1
3.535766020E-1,2.575000000E1
3.562006020E-1,2.575000000E1
3.588256020E-1,2.575000000E1
3.614496020E-1,2.575000000E1
3.640746020E-1,2.575000000E1
3.666986020E-1,2.575000000E1
3.693236020E-1,2.575000000E1
3.719476020E-1,2.575000000E1
3.745726020E-1,2.575000000E1
3.771966020E-1,2.575000000E1
3.798216020E-1,2.575000000E1
3.824456020E-1,2.575000000E1
3.850706020E-1,2.575000000E1
3.876946020E-1,2.575000000E1
3.903196020E-1,2.575000000E1
3.929436020E-1,2.575000000E1
3.955686020E-1,2.575000000E1
3.981926020E-1,1.937500000E1
4.008176020E-1,1.937500000E1
4.034416020E-1,1.937500000E1
4.060666020E-1,1.937500000E1
4.086906020E-1,1.937500000E1
4.113156020E-1,1.937500000E1
4.139396020E-1,1.937500000E1
4.165646020E-1,1.937500000E1
4.191886020E-1,1.937500000E1
4.218136020E-1,1.937500000E1
4.270626020E-1,2.575000000E1
4.296866020E-1,2.575000000E1
4.323116020E-1,2.575000000E1
4.349356020E-1,2.575000000E1
4.375606020E-1,2.575000000E1
4.401846020E-1,2.575000000E1
4.428096020E-1,2.575000000E1
4.454336020E-1,2.575000000E1
4.480586020E-1,2.575000000E1
4.506826020E-1,2.575000000E1
4.533076020E-1,2.575000000E1
4.559316020E-1,2.575000000E1
4.585566020E-1,2.575000000E1
4.611806020E-1,2.575000000E1
4.638056020E-1,2.575000000E1
4.664306020E-1,2.575000000E1
4.690546020E-1,2.575000000E1
4.716796020E-1,2.575000000E1
4.743036020E-1,1.937500000E1
4.769286020E-1,1.937500000E1
4.795526020E-1,1.937500000E1
4.821776020E-1,1.937500000E1
4.848016020E-1,1.937500000E1
4.874266020E-1,1.937500000E1
4.900506020E-1,1.937500000E1
4.926756020E-1,1.937500000E1
4.952996020E-1,1.937500000E1
4.979246020E-1,1.937500000E1
5.005486020E-1,1.937500000E1
5.031736020E-1,1.937500000E1
5.057976020E-1,1.937500000E1
5.084226020E-1,1.937500000E1
5.110466020E-1,1.937500000E1
5.136716020E-1,1.937500000E1
5.162956020E-1,1.937500000E1
5.189206020E-1,1.937500000E1
5.215446020E-1,1.937500000E1
5.267936020E-1,2.575000000E1
5.294186020E-1,2.575000000E1
5.320426020E-1,2.575000000E1
5.346676020E-1,2.575000000E1
5.372916020E-1,2.575000000E1
5.399166020E-1,2.575000000E1
5.425406020E-1,2.575000000E1
5.451656020E-1,2.575000000E1
5.477896020E-1,2.575000000E1
5.504146020E-1,1.937500000E1
5.530386020E-1,1.937500000E1
5.556636020E-1,1.937500000E1
5.582876020E-1,1.937500000E1
5.609126020E-1,1.937500000E1
5.635366020E-1,1.937500000E1
5.661616020E-1,1.937500000E1
5.687856020E-1,1.937500000E1
5.714106020E-1,1.937500000E1
5.766596020E-1,2.575000000E1
5.792846020E-1,2.575000000E1
5.819086020E-1,2.575000000E1
5.845336020E-1,2.575000000E1
5.871576020E-1,2.575000000E1
5.897826020E-1,2.575000000E1
5.924066020E-1,2.575000000E1
5.950316020E-1,2.575000000E1
5.976556020E-1,2.575000000E1
6.002806020E-1,2.575000000E1
6.029046020E-1,2.575000000E1
6.055296020E-1,2.575000000E1
6.081536020E-1,2.575000000E1
6.107786020E-1,2.575000000E1
6.134026020E-1,2.575000000E1
6.160276020E-1,2.575000000E1
6.186516020E-1,2.575000000E1
6.212766020E-1,2.575000000E1
6.239006020E-1,2.575000000E1
6.265256020E-1,1.937500000E1
6.291496020E-1,1.937500000E1
6.317746020E-1,1.937500000E1
6.343986020E-1,1.937500000E1
6.370236020E-1,1.937500000E1
6.396476020E-1,1.937500000E1
6.422726020E-1,1.937500000E1
6.448966020E-1,1.937500000E1
6.475216020E-1,1.937500000E1
6.501456020E-1,1.937500000E1
6.553946020E-1,2.575000000E1
6.580196020E-1,2.575000000E1
6.606436020E-1,2.575000000E1
6.632686020E-1,2.575000000E1
6.658926020E-1,2.575000000E1
6.685176020E-1,2.575000000E1
6.711416020E-1,2.575000000E1
6.737666020E-1,2.575000000E1
6.763906020E-1,2.575000000E1
6.790156020E-1,1.937500000E1
6.816396020E-1,1.937500000E1
6.842646020E-1,1.937500000E1
6.868896020E-1,1.937500000E1
6.895136020E-1,1.937500000E1
6.921386020E-1,1.937500000E1
6.947626020E-1,1.937500000E1
6.973876020E-1,1.937500000E1
7.000116020E-1,1.937500000E1
7.026366020E-1,1.937500000E1
7.052606020E-1,1.937500000E1
7.078856020E-1,1.937500000E1
7.105096020E-1,1.937500000E1
7.131346020E-1,1.937500000E1
7.157586020E-1,1.937500000E1
7.183836020E-1,1.937500000E1
7.210076020E-1,1.937500000E1
7.236326020E-1,1.937500000E1
7.262566020E-1,1.937500000E1
7.288816020E-1,1.937500000E1
7.315056020E-1,1.937500000E1
7.341306020E-1,1.937500000E1
7.367546020E-1,1.937500000E1
7.393796020E-1,1.937500000E1
7.420036020E-1,1.937500000E1
7.446286020E-1,1.937500000E1
7.472526020E-1,1.937500000E1
7.498776020E-1,1.937500000E1
7.551266020E-1,2.575000000E1
7.577506020E-1,2.575000000E1
7.603756020E-1,2.575000000E1
7.629996020E-1,2.575000000E1
7.656246020E-1,2.575000000E1
7.682486020E-1,2.575000000E1
7.708736020E-1,2.575000000E1
7.734976020E-1,2.575000000E1
7.761226020E-1,2.575000000E1
7.787466020E-1,2.575000000E1
7.813716020E-1,2.575000000E1
7.839956020E-1,2.575000000E1
7.866206020E-1,2.575000000E1
7.892446020E-1,2.575000000E1
7.918696020E-1,2.575000000E1
7.944936020E-1,2.575000000E1
7.971186020E-1,2.575000000E1
7.997436020E-1,2.575000000E1
8.023676020E-1,2.575000000E1
8.049926020E-1,2.575000000E1
8.076166020E-1,2.575000000E1
8.102416020E-1,2.575000000E1
8.128656020E-1,2.575000000E1
8.154906020E-1,2.575000000E1
8.181146020E-1,2.575000000E1
8.207396020E-1,2.575000000E1
8.233636020E-1,2.575000000E1
8.259886020E-1,2.575000000E1
8.286126020E-1,2.575000000E1
8.312376020E-1,1.937500000E1
8.338616020E-1,1.937500000E1
8.364866020E-1,1.937500000E1
8.391106020E-1,1.937500000E1
8.417356020E-1,1.937500000E1
8.443596020E-1,1.937500000E1
8.469846020E-1,1.937500000E1
8.496086020E-1,1.937500000E1
8.522336020E-1,1.937500000E1
8.548576020E-1,1.937500000E1
8.601066020E-1,2.575000000E1
8.627316020E-1,2.575000000E1
8.653556020E-1,2.575000000E1
8.679806020E-1,2.575000000E1
8.706046020E-1,2.575000000E1
8.732296020E-1,2.575000000E1
8.758536020E-1,2.575000000E1
8.784786020E-1,2.575000000E1
8.811026020E-1,2.575000000E1
8.837276020E-1,2.575000000E1
8.863516020E-1,2.575000000E1
8.889766020E-1,2.575000000E1
8.916006020E-1,2.575000000E1
8.942256020E-1,2.575000000E1
8.968496020E-1,2.575000000E1
8.994746020E-1,2.575000000E1
9.020986020E-1,2.575000000E1
9.047236020E-1,2.575000000E1
9.073476020E-1,2.575000000E1
9.099726020E-1,2.575000000E1
9.125976020E-1,2.575000000E1
9.152216020E-1,2.575000000E1
9.178466020E-1,2.575000000E1
9.204706020E-1,2.575000000E1
9.230956020E-1,2.575000000E1
9.257196020E-1,2.575000000E1
9.283446020E-1,2.575000000E1
9.309686020E-1,1.937500000E1
9.335936020E-1,1.937500000E1
9.362176020E-1,1.937500000E1
9.388426020E-1,1.937500000E1
9.414666020E-1,1.937500000E1
9.440916020E-1,1.937500000E1
9.467156020E-1,1.937500000E1
9.493406020E-1,1.937500000E1
9.519646020E-1,1.937500000E1
9.545896020E-1,1.937500000E1
9.598386020E-1,2.575000000E1
9.624626020E-1,2.575000000E1
9.650876020E-1,2.575000000E1
9.677116020E-1,2.575000000E1
9.703366020E-1,2.575000000E1
9.729606020E-1,2.575000000E1
9.755856020E-1,2.575000000E1
9.782096020E-1,2.575000000E1
9.808346020E-1,2.575000000E1
9.834586020E-1,2.575000000E1
9.860836020E-1,2.575000000E1
9.887076020E-1,2.575000000E1
9.913326020E-1,2.575000000E1
9.939566020E-1,2.575000000E1
9.965816020E-1,2.575000000E1
9.992056020E-1,2.575000000E1
1.001830602E0,2.575000000E1
1.004454602E0,2.575000000E1
1.007079602E0,2.575000000E1
1.009703602E0,2.575000000E1
1.012328602E0,2.575000000E1
1.014952602E0,2.575000000E1
1.017577602E0,2.575000000E1
1.020201602E0,2.575000000E1
1.022826602E0,2.575000000E1
1.025451602E0,2.575000000E1
1.028075602E0,2.575000000E1
1.030700602E0,2.575000000E1
1.033324602E0,1.937500000E1
1.035949602E0,1.937500000E1
1.038573602E0,1.937500000E1
1.041198602E0,1.937500000E1
1.043822602E0,1.937500000E1
1.046447602E0,1.937500000E1
1.049071602E0,1.937500000E1
1.051696602E0,1.937500000E1
1.054320602E0,1.937500000E1
1.056945602E0,1.937500000E1
1.059569602E0,1.937500000E1
1.062194602E0,1.937500000E1
1.064818602E0,1.937500000E1
1.067443602E0,1.937500000E1
1.070067602E0,1.937500000E1
1.072692602E0,1.937500000E1
1.075316602E0,1.937500000E1
1.077941602E0,1.937500000E1
1.080565602E0,1.937500000E1
1.083190602E0,1.937500000E1
1.085814602E0,1.937500000E1
1.088439602E0,1.937500000E1
1.091063602E0,1.937500000E1
1.093688602E0,1.937500000E1
1.096312602E0,1.937500000E1
1.098937602E0,1.937500000E1
1.101561602E0,1.937500000E1
1.104186602E0,1.937500000E1
1.106810602E0,1.937500000E1
1.109435602E0,1.937500000E1
1.112059602E0,1.937500000E1
1.114684602E0,1.937500000E1
1.117308602E0,1.937500000E1
1.119933602E0,1.937500000E1
1.122557602E0,1.937500000E1
1.125182602E0,1.937500000E1
1.127806602E0,1.937500000E1
1.130431602E0,1.937500000E1
1.133055602E0,1.937500000E1
1.135680602E0,1.937500000E1
1.138305602E0,1.937500000E1
1.140929602E0,1.937500000E1
1.143554602E0,1.937500000E1
1.146178602E0,1.937500000E1
1.148803602E0,1.937500000E1
1.151427602E0,1.937500000E1
1.154052602E0,1.937500000E1
1.156676602E0,1.937500000E1
1.159301602E0,1.937500000E1
1.164550602E0,2.575000000E1
1.167174602E0,2.575000000E1
1.169799602E0,2.575000000E1
1.172423602E0,2.575000000E1
1.175048602E0,2.575000000E1
1.177672602E0,2.575000000E1
1.180297602E0,2.575000000E1
1.182921602E0,2.575000000E1
1.185546602E0,2.575000000E1
1.188170602E0,1.937500000E1
1.190795602E0,1.937500000E1
1.193419602E0,1.937500000E1
1.196044602E0,1.937500000E1
1.198668602E0,1.937500000E1
1.201293602E0,1.937500000E1
1.203917602E0,1.937500000E1
1.206542602E0,1.937500000E1
1.209166602E0,1.937500000E1
1.214415602E0,2.575000000E1
1.217040602E0,2.575000000E1
1.219664602E0,2.575000000E1
1.222289602E0,2.575000000E1
1.224913602E0,2.575000000E1
1.227538602E0,2.575000000E1
1.230162602E0,2.575000000E1
1.232787602E0,2.575000000E1
1.235411602E0,2.575000000E1
1.238036602E0,2.575000000E1
1.240660602E0,2.575000000E1
1.243285602E0,2.575000000E1
1.245910602E0,2.575000000E1
1.248534602E0,2.575000000E1
1.251159602E0,2.575000000E1
1.253783602E0,2.575000000E1
1.256408602E0,2.575000000E1
1.259032602E0,2.575000000E1
1.261657602E0,2.575000000E1
1.264281602E0,2.575000000E1
1.266906602E0,2.575000000E1
1.269530602E0,2.575000000E1
1.272155602E0,2.575000000E1
1.274779602E0,2.575000000E1
1.277404602E0,2.575000000E1
1.280028602E0,2.575000000E1
1.282653602E0,2.575000000E1
1.285277602E0,2.575000000E1
1.287902602E0,1.937500000E1
1.290526602E0,1.937500000E1
1.293151602E0,1.937500000E1
1.295775602E0,1.937500000E1
1.298400602E0,1.937500000E1
1.301024602E0,1.937500000E1
1.303649602E0,1.937500000E1
1.306273602E0,1.937500000E1
1.308898602E0,1.937500000E1
1.311522602E0,1.937500000E1
1.314147602E0,1.937500000E1
1.316771602E0,1.937500000E1
1.319396602E0,1.937500000E1
1.322020602E0,1.937500000E1
1.324645602E0,1.937500000E1
1.327269602E0,1.937500000E1
1.329894602E0,1.937500000E1
1.332518602E0,1.937500000E1
1.335143602E0,1.937500000E1
1.337767602E0,1.937500000E1
1.340392602E0,1.937500000E1
1.343016602E0,1.937500000E1
1.345641602E0,1.937500000E1
1.348265602E0,1.937500000E1
1.350890602E0,1.937500000E1
1.353514602E0,1.937500000E1
1.356139602E0,1.937500000E1
1.358764602E0,1.937500000E1
1.361388602E0,1.937500000E1
1.364013602E0,1.937500000E1
1.369262602E0,2.575000000E1
1.371886602E0,2.575000000E1
1.374511602E0,2.575000000E1
1.377135602E0,2.575000000E1
1.379760602E0,2.575000000E1
1.382384602E0,2.575000000E1
1.385009602E0,2.575000000E1
1.387633602E0,2.575000000E1
1.390258602E0,2.575000000E1
1.392882602E0,2.575000000E1
1.395507602E0,2.575000000E1
1.398131602E0,2.575000000E1
1.400756602E0,2.575000000E1
1.403380602E0,2.575000000E1
1.406005602E0,2.575000000E1
1.408629602E0,2.575000000E1
1.411254602E0,2.575000000E1
1.413878602E0,2.575000000E1
1.416503602E0,2.575000000E1
1.419127602E0,2.575000000E1
1.421752602E0,2.575000000E1
1.424376602E0,2.575000000E1
1.427001602E0,2.575000000E1
1.429625602E0,2.575000000E1
1.432250602E0,2.575000000E1
1.434874602E0,2.575000000E1
1.437499602E0,2.575000000E1
1.440123602E0,2.575000000E1
1.442748602E0,1.937500000E1
1.445372602E0,1.937500000E1
1.447997602E0,1.937500000E1
1.450621602E0,1.937500000E1
1.453246602E0,1.937500000E1
1.455870602E0,1.937500000E1
1.458495602E0,1.937500000E1
1.461119602E0,1.937500000E1
1.463744602E0,1.937500000E1
1.466368602E0,1.937500000E1
1.468993602E0,1.937500000E1
1.471618602E0,1.937500000E1
1.474242602E0,1.937500000E1
1.476867602E0,1.937500000E1
1.479491602E0,1.937500000E1
1.482116602E0,1.937500000E1
1.484740602E0,1.937500000E1
1.487365602E0,1.937500000E1
1.489989602E0,1.937500000E1
1.495238602E0,2.575000000E1
1.497863602E0,2.575000000E1
1.500487602E0,2.575000000E1
1.503112602E0,2.575000000E1
1.505736602E0,2.575000000E1
1.508361602E0,2.575000000E1
1.510985602E0,2.575000000E1
1.513610602E0,2.575000000E1
1.516234602E0,2.575000000E1
1.518859602E0,1.937500000E1
1.521483602E0,1.937500000E1
1.524108602E0,1.937500000E1
1.526732602E0,1.937500000E1
1.529357602E0,1.937500000E1
1.531981602E0,1.937500000E1
1.534606602E0,1.937500000E1
1.537230602E0,1.937500000E1
1.539855602E0,1.937500000E1
1.542479602E0,1.937500000E1
1.545104602E0,1.937500000E1
1.547728602E0,1.937500000E1
1.550353602E0,1.937500000E1
1.552977602E0,1.937500000E1
1.555602602E0,1.937500000E1
1.558226602E0,1.937500000E1
1.560851602E0,1.937500000E1
1.563475602E0,1.937500000E1
1.566100602E0,1.937500000E1
1.571349602E0,2.575000000E1
1.573973602E0,2.575000000E1
1.576598602E0,2.575000000E1
1.579222602E0,2.575000000E1
1.581847602E0,2.575000000E1
1.584472602E0,2.575000000E1
1.587096602E0,2.575000000E1
1.589721602E0,2.575000000E1
1.592345602E0,1.937500000E1
1.594970602E0,1.937500000E1
1.597594602E0,1.937500000E1
1.600219602E0,1.937500000E1
1.602843602E0,1.937500000E1
1.605468602E0,1.937500000E1
1.608092602E0,1.937500000E1
1.610717602E0,1.937500000E1
1.613341602E0,1.937500000E1
1.615966602E0,1.937500000E1
1.618590602E0,1.937500000E1
1.623839602E0,2.575000000E1
1.626464602E0,2.575000000E1
1.629088602E0,2.575000000E1
1.631713602E0,2.575000000E1
1.634337602E0,2.575000000E1
1.636962602E0,2.575000000E1
1.639586602E0,2.575000000E1
1.642211602E0,2.575000000E1
1.644835602E0,2.575000000E1
1.647460602E0,2.575000000E1
1.650084602E0,2.575000000E1
1.652709602E0,2.575000000E1
1.655333602E0,2.575000000E1
1.657958602E0,2.575000000E1
1.660582602E0,2.575000000E1
1.663207602E0,2.575000000E1
1.665831602E0,2.575000000E1
1.668456602E0,2.575000000E1
1.671080602E0,2.575000000E1
1.673705602E0,2.575000000E1
1.676329602E0,2.575000000E1
1.678954602E0,2.575000000E1
1.681578602E0,2.575000000E1
1.684203602E0,2.575000000E1
1.686827602E0,2.575000000E1
1.689452602E0,2.575000000E1
1.692076602E0,2.575000000E1
1.694701602E0,2.575000000E1
1.697326602E0,2.575000000E1
1.699950602E0,2.575000000E1
1.702575602E0,2.575000000E1
1.705199602E0,2.575000000E1
1.707824602E0,2.575000000E1
1.710448602E0,2.575000000E1
1.713073602E0,2.575000000E1
1.715697602E0,2.575000000E1
1.718322602E0,2.575000000E1
1.720946602E0,2.575000000E1
1.723571602E0,2.575000000E1
1.726195602E0,2.575000000E1
1.728820602E0,2.575000000E1
1.731444602E0,2.575000000E1
1.734069602E0,2.575000000E1
1.736693602E0,2.575000000E1
1.739318602E0,2.575000000E1
1.741942602E0,2.575000000E1
1.744567602E0,2.575000000E1
1.747191602E0,1.937500000E1
1.749816602E0,1.937500000E1
1.752440602E0,1.937500000E1
1.755065602E0,1.937500000E1
1.757689602E0,1.937500000E1
1.760314602E0,1.937500000E1
1.762938602E0,1.937500000E1
1.765563602E0,1.937500000E1
1.768187602E0,1.937500000E1
1.770812602E0,1.937500000E1
1.773436602E0,1.937500000E1
1.776061602E0,1.937500000E1
1.778685602E0,1.937500000E1
1.781310602E0,1.937500000E1
1.783934602E0,1.937500000E1
1.786559602E0,1.937500000E1
1.789183602E0,1.937500000E1
1.791808602E0,1.937500000E1
1.794432602E0,1.937500000E1
1.799681602E0,2.575000000E1
1.802306602E0,2.575000000E1
1.804930602E0,2.575000000E1
1.807555602E0,2.575000000E1
1.810180602E0,2.575000000E1
1.812804602E0,2.575000000E1
1.815429602E0,2.575000000E1
1.818053602E0,2.575000000E1
1.820678602E0,2.575000000E1
1.823302602E0,2.575000000E1
1.825927602E0,2.575000000E1
1.828551602E0,2.575000000E1
1.831176602E0,2.575000000E1
1.833800602E0,2.575000000E1
1.836425602E0,2.575000000E1
1.839049602E0,2.575000000E1
1.841674602E0,2.575000000E1
1.844298602E0,2.575000000E1
1.846923602E0,2.575000000E1
1.849547602E0,1.937500000E1
1.852172602E0,1.937500000E1
1.854796602E0,1.937500000E1
1.857421602E0,1.937500000E1
1.860045602E0,1.937500000E1
1.862670602E0,1.937500000E1
1.865294602E0,1.937500000E1
1.867919602E0,1.937500000E1
1.870543602E0,1.937500000E1
1.873168602E0,1.937500000E1
1.875792602E0,1.937500000E1
1.878417602E0,1.937500000E1
1.881041602E0,1.937500000E1
1.883666602E0,1.937500000E1
1.886290602E0,1.937500000E1
1.888915602E0,1.937500000E1
1.891539602E0,1.937500000E1
1.894164602E0,1.937500000E1
1.896788602E0,1.937500000E1
1.902037602E0,2.575000000E1
1.904662602E0,2.575000000E1
1.907286602E0,2.575000000E1
1.909911602E0,2.575000000E1
1.912535602E0,2.575000000E1
1.915160602E0,2.575000000E1
1.917785602E0,2.575000000E1
1.920409602E0,2.575000000E1
1.923034602E0,2.575000000E1
1.925658602E0,1.937500000E1
1.928283602E0,1.937500000E1
1.930907602E0,1.937500000E1
1.933532602E0,1.937500000E1
1.936156602E0,1.937500000E1
1.938781602E0,1.937500000E1
1.941405602E0,1.937500000E1
1.944030602E0,1.937500000E1
1.946654602E0,1.937500000E1
1.949279602E0,1.937500000E1
1.951903602E0,1.937500000E1
1.954528602E0,1.937500000E1
1.957152602E0,1.937500000E1
1.959777602E0,1.937500000E1
1.962401602E0,1.937500000E1
1.965026602E0,1.937500000E1
1.967650602E0,1.937500000E1
1.970275602E0,1.937500000E1
1.972899602E0,1.937500000E1
1.978148602E0,2.575000000E1
1.980773602E0,2.575000000E1
1.983397602E0,2.575000000E1
1.986022602E0,2.575000000E1
1.988646602E0,2.575000000E1
1.991271602E0,2.575000000E1
1.993893602E0,2.575000000E1
1.996518602E0,2.575000000E1
1.999142602E0,2.575000000E1
2.001767602E0,2.575000000E1
2.004391602E0,2.575000000E1
2.007016602E0,2.575000000E1
2.009640602E0,2.575000000E1
2.012265602E0,2.575000000E1
2.014889602E0,2.575000000E1
2.017514602E0,2.575000000E1
2.020138602E0,2.575000000E1
2.022763602E0,2.575000000E1
2.025387602E0,2.575000000E1
2.028012602E0,1.937500000E1
2.030636602E0,1.937500000E1
2.033261602E0,1.937500000E1
2.035885602E0,1.937500000E1
2.038510602E0,1.937500000E1
2.041134602E0,1.937500000E1
2.043759602E0,1.937500000E1
2.046383602E0,1.937500000E1
2.049008602E0,1.937500000E1
2.051633602E0,1.937500000E1
2.054257602E0,1.937500000E1
