"event","experiment time","system time","system time text"
"START",0.000000000E0,1738789787.707,"2025-02-05 16:09:47.707 UTC-05:00"
"PAUSE",1.567034026E1,1738789803.377,"2025-02-05 16:10:03.377 UTC-05:00"
