 ,Mean,Slice
1,142,1
2,136,2
3,140,3
4,139,4
5,134,5
6,135,6
7,126,7
8,129,8
9,114,9
10,106,10
11,88,11
12,71,12
13,58,13
14,43,14
15,19,15
16,2,16
17,10,17
18,33,18
19,60,19
20,81,20
21,108,21
22,121,22
23,130,23
24,145,24
25,139,25
26,150,26
27,136,27
28,126,28
29,109,29
30,94,30
31,69,31
32,48,32
33,13,33
34,2,34
35,6,35
36,33,36
37,59,37
38,82,38
39,101,39
40,115,40
41,126,41
42,127,42
43,130,43
