 ,Mean,Slice
1,255,1
2,255,2
3,255,3
4,255,4
5,255,5
6,253,6
7,243,7
8,224,8
9,215,9
10,190,10
11,180,11
12,134,12
13,109,13
14,95,14
15,40,15
16,0,16
17,29,17
18,80,18
19,133,19
20,180,20
21,220,21
22,247,22
23,253,23
24,255,24
25,255,25
26,255,26
27,255,27
28,253,28
29,224,29
30,183,30
31,150,31
32,98,32
33,44,33
34,3,34
35,30,35
36,86,36
37,127,37
38,184,38
39,208,39
40,240,40
41,255,41
42,255,42
43,255,43
