 ,Mean,Slice
1,237,1
2,237,2
3,233,3
4,230,4
5,228,5
6,216,6
7,215,7
8,196,8
9,185,9
10,173,10
11,149,11
12,122,12
13,99,13
14,82,14
15,35,15
16,2,16
17,18,17
18,66,18
19,114,19
20,155,20
21,181,21
22,204,22
23,224,23
24,228,24
25,230,25
26,227,26
27,224,27
28,212,28
29,191,29
30,159,30
31,126,31
32,87,32
33,36,33
34,0,34
35,22,35
36,71,36
37,114,37
38,153,38
39,185,39
40,200,40
41,209,41
42,221,42
43,227,43
