 ,Mean,Slice
1,147,1
2,147,2
3,153,3
4,147,4
5,145,5
6,145,6
7,137,7
8,124,8
9,123,9
10,105,10
11,93,11
12,74,12
13,59,13
14,45,14
15,16,15
16,1,16
17,8,17
18,39,18
19,65,19
20,94,20
21,114,21
22,129,22
23,143,23
24,153,24
25,154,25
26,150,26
27,140,27
28,135,28
29,120,29
30,99,30
31,73,31
32,46,32
33,18,33
34,0,34
35,10,35
36,37,36
37,65,37
38,97,38
39,114,39
40,129,40
41,136,41
42,144,42
43,149,43
