 ,Mean,Slice
1,255,1
2,255,2
3,255,3
4,255,4
5,252,5
6,240,6
7,226,7
8,215,8
9,203,9
10,187,10
11,171,11
12,133,12
13,110,13
14,93,14
15,40,15
16,1,16
17,30,17
18,85,18
19,141,19
20,188,20
21,224,21
22,252,22
23,255,23
24,255,24
25,255,25
26,255,26
27,251,27
28,230,28
29,204,29
30,174,30
31,139,31
32,94,32
33,44,33
34,2,34
35,27,35
36,85,36
37,128,37
38,180,38
39,214,39
40,237,40
41,253,41
42,255,42
43,255,43
