"event","experiment time","system time","system time text"
"START",0.000000000E0,1738792809.820,"2025-02-05 17:00:09.820 UTC-05:00"
"PAUSE",3.556229331E2,1738793165.443,"2025-02-05 17:06:05.443 UTC-05:00"
