"event","experiment time","system time","system time text"
"START",0.000000000E0,1738790575.991,"2025-02-05 16:22:55.991 UTC-05:00"
"PAUSE",1.660347387E1,1738790592.594,"2025-02-05 16:23:12.594 UTC-05:00"
