"event","experiment time","system time","system time text"
"START",0.000000000E0,1738787085.847,"2025-02-05 15:24:45.847 UTC-05:00"
"PAUSE",1.645231918E1,1738787102.299,"2025-02-05 15:25:02.299 UTC-05:00"
