"event","experiment time","system time","system time text"
"PAUSE",1.578003509E2,1736981163.173,"2025-01-15 17:46:03.173 UTC-05:00"
"START",1.578003509E2,1736981166.306,"2025-01-15 17:46:06.306 UTC-05:00"
"PAUSE",1.629579056E2,1736981171.463,"2025-01-15 17:46:11.463 UTC-05:00"
"START",1.629579056E2,1736981173.729,"2025-01-15 17:46:13.729 UTC-05:00"
"PAUSE",1.679901432E2,1736981178.761,"2025-01-15 17:46:18.761 UTC-05:00"
"START",1.679901432E2,1736981224.836,"2025-01-15 17:47:04.836 UTC-05:00"
"PAUSE",1.735558246E2,1736981230.402,"2025-01-15 17:47:10.402 UTC-05:00"
"START",1.735558246E2,1736981234.838,"2025-01-15 17:47:14.838 UTC-05:00"
"PAUSE",1.784864137E2,1736981239.768,"2025-01-15 17:47:19.768 UTC-05:00"
"START",1.784864137E2,1736981242.520,"2025-01-15 17:47:22.520 UTC-05:00"
"PAUSE",1.835974283E2,1736981247.631,"2025-01-15 17:47:27.631 UTC-05:00"
"START",1.835974283E2,1736981250.968,"2025-01-15 17:47:30.968 UTC-05:00"
"PAUSE",1.886163991E2,1736981255.987,"2025-01-15 17:47:35.987 UTC-05:00"
"START",1.886163991E2,1736981299.253,"2025-01-15 17:48:19.253 UTC-05:00"
"PAUSE",1.931048511E2,1736981303.741,"2025-01-15 17:48:23.741 UTC-05:00"
"START",1.931048511E2,1736981307.906,"2025-01-15 17:48:27.906 UTC-05:00"
"PAUSE",1.974578194E2,1736981312.259,"2025-01-15 17:48:32.259 UTC-05:00"
"START",1.974578194E2,1736981314.684,"2025-01-15 17:48:34.684 UTC-05:00"
"PAUSE",2.022734674E2,1736981319.500,"2025-01-15 17:48:39.500 UTC-05:00"
"START",2.022734674E2,1736981322.022,"2025-01-15 17:48:42.022 UTC-05:00"
"PAUSE",2.065167232E2,1736981326.266,"2025-01-15 17:48:46.266 UTC-05:00"
"START",2.065167232E2,1736981328.417,"2025-01-15 17:48:48.417 UTC-05:00"
"PAUSE",2.105333610E2,1736981332.434,"2025-01-15 17:48:52.434 UTC-05:00"
"START",2.105333610E2,1736981335.293,"2025-01-15 17:48:55.293 UTC-05:00"
"PAUSE",2.155626690E2,1736981340.322,"2025-01-15 17:49:00.322 UTC-05:00"
"START",2.155626690E2,1736981341.877,"2025-01-15 17:49:01.877 UTC-05:00"
"PAUSE",2.203444010E2,1736981346.659,"2025-01-15 17:49:06.659 UTC-05:00"
"START",2.203444010E2,1736981349.431,"2025-01-15 17:49:09.431 UTC-05:00"
"PAUSE",2.245967104E2,1736981353.683,"2025-01-15 17:49:13.683 UTC-05:00"
"START",2.245967104E2,1736981356.337,"2025-01-15 17:49:16.337 UTC-05:00"
