"event","experiment time","system time","system time text"
"START",0.000000000E0,1738792207.349,"2025-02-05 16:50:07.349 UTC-05:00"
"PAUSE",1.286649553E1,1738792220.216,"2025-02-05 16:50:20.216 UTC-05:00"
