Grados,Luminancia (lx),Incertidumbre (lx)
180,0.0,0.0
190,0.0,0.0
200,0.0,0.0
210,0.0,0.0
220,0.0,0.0
230,3.25,3.2499999999999996
240,6.467138452914798,0.014057572504659253
250,10.660453904045156,0.1306210816727652
260,19.375,0.0
270,19.414152464302166,0.004674061423650921
280,19.38429186228482,0.002124177211614525
290,19.375,0.0
300,19.37992341356674,0.0016382611875390668
310,19.409376481744903,0.004452408026168001
320,19.375,0.0
330,19.375,0.0
0,19.41171723692705,0.0026816083819840067
10,19.375,0.0
20,19.40929588607595,0.008296882596533047
30,19.37908496732026,0.0013596759021102126
40,19.406215057771153,0.003766311399684012
50,19.370421408250355,0.004578591749644381
60,14.728204654599187,0.1188681269001731
70,6.494648003293537,0.0037836537523913095
80,5.827586206896552,0.13927942826812678
90,0.0,0.0
100,0.0,0.0
110,0.0,
