	profile_A
n	x	y	luma
0.000000E0	5.926215E0	-7.067678E-3	1.124046E1
1.000000E0	5.923126E0	-7.067678E-3	1.203250E1
2.000000E0	5.920038E0	-7.067678E-3	1.001378E1
3.000000E0	5.916949E0	-7.067678E-3	9.125384E0
4.000000E0	5.913860E0	-7.067678E-3	9.339507E0
5.000000E0	5.910771E0	-7.067678E-3	8.656811E0
6.000000E0	5.907682E0	-7.067678E-3	1.068715E1
7.000000E0	5.904593E0	-7.067678E-3	1.129471E1
8.000000E0	5.901505E0	-7.067678E-3	1.071588E1
9.000000E0	5.898416E0	-7.067678E-3	1.017203E1
1.000000E1	5.895327E0	-7.067678E-3	9.894178E0
1.100000E1	5.892238E0	-7.067678E-3	1.085590E1
1.200000E1	5.889149E0	-7.067678E-3	1.152889E1
1.300000E1	5.886061E0	-7.067678E-3	1.245142E1
1.400000E1	5.882972E0	-7.067678E-3	1.258662E1
1.500000E1	5.879883E0	-7.067678E-3	1.004941E1
1.600000E1	5.876794E0	-7.067678E-3	9.237590E0
1.700000E1	5.873705E0	-7.067678E-3	1.164174E1
1.800000E1	5.870616E0	-7.067678E-3	1.056947E1
1.900000E1	5.867528E0	-7.067678E-3	8.909023E0
2.000000E1	5.864439E0	-7.067678E-3	9.613615E0
2.100000E1	5.861350E0	-7.067678E-3	9.911800E0
2.200000E1	5.858261E0	-7.067678E-3	8.707832E0
2.300000E1	5.855172E0	-7.067678E-3	8.428236E0
2.400000E1	5.852084E0	-7.067678E-3	1.011005E1
2.500000E1	5.848995E0	-7.067678E-3	1.017202E1
2.600000E1	5.845906E0	-7.067678E-3	9.035585E0
2.700000E1	5.842817E0	-7.067678E-3	1.160007E1
2.800000E1	5.839728E0	-7.067678E-3	9.213309E0
2.900000E1	5.836639E0	-7.067678E-3	1.071221E1
3.000000E1	5.833551E0	-7.067678E-3	1.147190E1
3.100000E1	5.830462E0	-7.067678E-3	1.108008E1
3.200000E1	5.827373E0	-7.067678E-3	8.792507E0
3.300000E1	5.824284E0	-7.067678E-3	8.036161E0
3.400000E1	5.821195E0	-7.067678E-3	9.369314E0
3.500000E1	5.818106E0	-7.067678E-3	1.126094E1
3.600000E1	5.815018E0	-7.067678E-3	1.178109E1
3.700000E1	5.811929E0	-7.067678E-3	1.158510E1
3.800000E1	5.808840E0	-7.067678E-3	9.255327E0
3.900000E1	5.805751E0	-7.067678E-3	9.891735E0
4.000000E1	5.802662E0	-7.067678E-3	8.580698E0
4.100000E1	5.799574E0	-7.067678E-3	8.663730E0
4.200000E1	5.796485E0	-7.067678E-3	8.372807E0
4.300000E1	5.793396E0	-7.067678E-3	9.412157E0
4.400000E1	5.790307E0	-7.067678E-3	1.067255E1
4.500000E1	5.787218E0	-7.067678E-3	8.050009E0
4.600000E1	5.784129E0	-7.067678E-3	8.918159E0
4.700000E1	5.781041E0	-7.067678E-3	9.310938E0
4.800000E1	5.777952E0	-7.067678E-3	9.810519E0
4.900000E1	5.774863E0	-7.067678E-3	1.031196E1
5.000000E1	5.771774E0	-7.067678E-3	1.168701E1
5.100000E1	5.768685E0	-7.067678E-3	9.528801E0
5.200000E1	5.765597E0	-7.067678E-3	8.006221E0
