	profile_A
n	x	y	luma
0.000000E0	7.621472E0	3.206068E-1	3.886095E0
1.000000E0	7.617511E0	3.206068E-1	4.069142E0
2.000000E0	7.613550E0	3.206068E-1	4.052321E0
3.000000E0	7.609588E0	3.206068E-1	3.800196E0
4.000000E0	7.605627E0	3.206068E-1	3.740573E0
5.000000E0	7.601666E0	3.206068E-1	4.075579E0
6.000000E0	7.597704E0	3.206068E-1	3.546218E0
7.000000E0	7.593743E0	3.206068E-1	4.206855E0
8.000000E0	7.589781E0	3.206068E-1	4.289642E0
9.000000E0	7.585820E0	3.206068E-1	4.932287E0
1.000000E1	7.581859E0	3.206068E-1	4.606308E0
1.100000E1	7.577897E0	3.206068E-1	5.150346E0
1.200000E1	7.573936E0	3.206068E-1	5.127143E0
1.300000E1	7.569975E0	3.206068E-1	6.006828E0
1.400000E1	7.566013E0	3.206068E-1	5.244979E0
1.500000E1	7.562052E0	3.206068E-1	4.945115E0
1.600000E1	7.558091E0	3.206068E-1	5.194134E0
1.700000E1	7.554129E0	3.206068E-1	4.515734E0
1.800000E1	7.550168E0	3.206068E-1	4.865825E0
1.900000E1	7.546207E0	3.206068E-1	4.692386E0
2.000000E1	7.542245E0	3.206068E-1	3.845035E0
2.100000E1	7.538284E0	3.206068E-1	4.623652E0
2.200000E1	7.534323E0	3.206068E-1	4.185743E0
2.300000E1	7.530361E0	3.206068E-1	4.099558E0
2.400000E1	7.526400E0	3.206068E-1	3.898435E0
2.500000E1	7.522439E0	3.206068E-1	4.880268E0
2.600000E1	7.518477E0	3.206068E-1	4.989283E0
2.700000E1	7.514516E0	3.206068E-1	4.017147E0
2.800000E1	7.510554E0	3.206068E-1	4.433672E0
2.900000E1	7.506593E0	3.206068E-1	4.079072E0
3.000000E1	7.502632E0	3.206068E-1	3.992426E0
3.100000E1	7.498670E0	3.206068E-1	4.540641E0
3.200000E1	7.494709E0	3.206068E-1	5.031475E0
3.300000E1	7.490748E0	3.206068E-1	3.793175E0
3.400000E1	7.486786E0	3.206068E-1	3.840670E0
3.500000E1	7.482825E0	3.206068E-1	3.712606E0
3.600000E1	7.478864E0	3.206068E-1	3.656748E0
3.700000E1	7.474902E0	3.206068E-1	3.579688E0
3.800000E1	7.470941E0	3.206068E-1	4.157929E0
3.900000E1	7.466980E0	3.206068E-1	4.028349E0
4.000000E1	7.463018E0	3.206068E-1	3.878859E0
4.100000E1	7.459057E0	3.206068E-1	4.425766E0
4.200000E1	7.455096E0	3.206068E-1	4.646575E0
4.300000E1	7.451134E0	3.206068E-1	4.185460E0
4.400000E1	7.447173E0	3.206068E-1	4.001700E0
4.500000E1	7.443211E0	3.206068E-1	3.413729E0
4.600000E1	7.439250E0	3.206068E-1	3.292561E0
4.700000E1	7.435289E0	3.206068E-1	3.279614E0
4.800000E1	7.431327E0	3.206068E-1	3.745543E0
4.900000E1	7.427366E0	3.206068E-1	4.561561E0
5.000000E1	7.423405E0	3.206068E-1	4.870396E0
5.100000E1	7.419443E0	3.206068E-1	4.546985E0
5.200000E1	7.415482E0	3.206068E-1	5.173640E0
5.300000E1	7.411521E0	3.206068E-1	5.194132E0
5.400000E1	7.407559E0	3.206068E-1	4.409255E0
5.500000E1	7.403598E0	3.206068E-1	5.515560E0
5.600000E1	7.399637E0	3.206068E-1	4.001468E0
5.700000E1	7.395675E0	3.206068E-1	4.188888E0
5.800000E1	7.391714E0	3.206068E-1	3.964156E0
5.900000E1	7.387753E0	3.206068E-1	3.838420E0
6.000000E1	7.383791E0	3.206068E-1	4.255250E0
6.100000E1	7.379830E0	3.206068E-1	4.828614E0
6.200000E1	7.375869E0	3.206068E-1	5.771742E0
