	profile_A
n,x,luma
1.510000E2,2.136112E1,6.914745E0
1.520000E2,2.135044E1,7.602918E0
1.530000E2,2.133976E1,6.838242E0
1.540000E2,2.132909E1,6.704492E0
1.550000E2,2.131841E1,7.470952E0
1.560000E2,2.130773E1,7.896311E0
1.570000E2,2.129706E1,8.362969E0
1.580000E2,2.128638E1,8.696580E0
1.590000E2,2.127571E1,8.542172E0
1.600000E2,2.126503E1,8.828060E0
1.610000E2,2.125435E1,8.474119E0
1.620000E2,2.124368E1,7.900686E0
1.630000E2,2.123300E1,8.163666E0
1.640000E2,2.122232E1,9.265233E0
1.650000E2,2.121165E1,9.148770E0
1.660000E2,2.120097E1,8.032383E0
1.670000E2,2.119029E1,7.331923E0
1.680000E2,2.117962E1,7.682101E0
1.690000E2,2.116894E1,8.584960E0
1.700000E2,2.115826E1,8.319555E0
1.710000E2,2.114759E1,7.071421E0
1.720000E2,2.113691E1,6.729234E0
1.730000E2,2.112623E1,7.413924E0
1.740000E2,2.111556E1,7.325203E0
1.750000E2,2.110488E1,6.929867E0
1.760000E2,2.109420E1,7.602625E0
1.770000E2,2.108353E1,6.640409E0
1.780000E2,2.107285E1,6.552130E0
1.790000E2,2.106217E1,6.311011E0
1.800000E2,2.105150E1,6.182015E0
1.810000E2,2.104082E1,6.835819E0
1.820000E2,2.103014E1,7.428046E0
1.830000E2,2.101947E1,7.719900E0
1.840000E2,2.100879E1,7.210679E0
1.850000E2,2.099811E1,7.273022E0
1.860000E2,2.098744E1,6.414635E0
1.870000E2,2.097676E1,5.884521E0
1.880000E2,2.096608E1,6.679360E0
1.890000E2,2.095541E1,6.545060E0
1.900000E2,2.094473E1,7.298435E0
1.910000E2,2.093405E1,9.094341E0
1.920000E2,2.092338E1,8.353187E0
1.930000E2,2.091270E1,7.530522E0
1.940000E2,2.090202E1,7.103660E0
1.950000E2,2.089135E1,6.817497E0
1.960000E2,2.088067E1,5.977644E0
1.970000E2,2.086999E1,6.693577E0
1.980000E2,2.085932E1,7.370625E0
1.990000E2,2.084864E1,7.375148E0
2.000000E2,2.083796E1,7.664696E0
2.010000E2,2.082729E1,7.123082E0
2.020000E2,2.081661E1,6.596982E0
2.030000E2,2.080593E1,6.029317E0
2.040000E2,2.079526E1,6.441609E0
2.050000E2,2.078458E1,6.179959E0
2.060000E2,2.077390E1,6.378068E0
2.070000E2,2.076323E1,6.287522E0
2.080000E2,2.075255E1,7.149906E0
2.090000E2,2.074187E1,7.434398E0
2.100000E2,2.073120E1,7.199864E0
2.110000E2,2.072052E1,7.010471E0
2.120000E2,2.070984E1,6.760420E0
2.130000E2,2.069917E1,6.868513E0
2.140000E2,2.068849E1,7.425524E0
2.150000E2,2.067781E1,7.475530E0
2.160000E2,2.066714E1,6.335254E0
2.170000E2,2.065646E1,5.183287E0
2.180000E2,2.064578E1,6.227707E0
2.190000E2,2.063511E1,7.124508E0
2.200000E2,2.062443E1,6.693695E0
