	profile_A
n,x,luma
0.000000E0,1.134483E1,4.277522E0
1.000000E0,1.133957E1,5.250444E0
2.000000E0,1.133430E1,4.387108E0
3.000000E0,1.132904E1,4.505364E0
4.000000E0,1.132378E1,4.333341E0
5.000000E0,1.131852E1,4.772208E0
6.000000E0,1.131326E1,4.962218E0
7.000000E0,1.130800E1,5.391591E0
8.000000E0,1.130273E1,4.800538E0
9.000000E0,1.129747E1,4.593303E0
1.000000E1,1.129221E1,3.450833E0
1.100000E1,1.128695E1,5.221648E0
1.200000E1,1.128169E1,5.463677E0
1.300000E1,1.127643E1,2.857885E0
1.400000E1,1.127116E1,4.776685E0
1.500000E1,1.126590E1,6.753060E0
1.600000E1,1.126064E1,6.695207E0
1.700000E1,1.125538E1,6.597989E0
1.800000E1,1.125012E1,6.442345E0
1.900000E1,1.124486E1,5.285546E0
2.000000E1,1.123959E1,5.017544E0
2.100000E1,1.123433E1,6.456929E0
2.200000E1,1.122907E1,6.054069E0
2.300000E1,1.122381E1,4.738955E0
2.400000E1,1.121855E1,5.364267E0
2.500000E1,1.121329E1,4.225940E0
2.600000E1,1.120802E1,3.741182E0
2.700000E1,1.120276E1,5.904930E0
2.800000E1,1.119750E1,6.251043E0
2.900000E1,1.119224E1,6.140582E0
3.000000E1,1.118698E1,5.456090E0
3.100000E1,1.118172E1,5.186450E0
3.200000E1,1.117645E1,5.293501E0
3.300000E1,1.117119E1,4.751910E0
3.400000E1,1.116593E1,5.379049E0
3.500000E1,1.116067E1,6.382753E0
3.600000E1,1.115541E1,5.921653E0
3.700000E1,1.115015E1,6.783562E0
3.800000E1,1.114489E1,6.614681E0
3.900000E1,1.113962E1,3.857482E0
4.000000E1,1.113436E1,5.473500E0
4.100000E1,1.112910E1,7.480429E0
4.200000E1,1.112384E1,6.623130E0
4.300000E1,1.111858E1,7.410951E0
4.400000E1,1.111332E1,6.111615E0
4.500000E1,1.110805E1,4.677387E0
4.600000E1,1.110279E1,5.512439E0
4.700000E1,1.109753E1,4.681252E0
4.800000E1,1.109227E1,4.212809E0
4.900000E1,1.108701E1,6.382551E0
5.000000E1,1.108175E1,5.035509E0
5.100000E1,1.107648E1,4.922284E0
5.200000E1,1.107122E1,4.830130E0
5.300000E1,1.106596E1,5.772037E0
5.400000E1,1.106070E1,6.259516E0
5.500000E1,1.105544E1,4.688221E0
5.600000E1,1.105018E1,5.395889E0
5.700000E1,1.104491E1,5.296371E0
5.800000E1,1.103965E1,9.350009E0
5.900000E1,1.103439E1,7.193887E0
6.000000E1,1.102913E1,5.933151E0
6.100000E1,1.102387E1,5.007032E0
6.200000E1,1.101861E1,6.156014E0
6.300000E1,1.101334E1,6.683066E0
6.400000E1,1.100808E1,6.236705E0
6.500000E1,1.100282E1,5.317121E0
6.600000E1,1.099756E1,6.997484E0
6.700000E1,1.099230E1,6.602878E0
6.800000E1,1.098704E1,6.912005E0
6.900000E1,1.098177E1,5.061389E0
7.000000E1,1.097651E1,5.430447E0
7.100000E1,1.097125E1,5.819843E0
7.200000E1,1.096599E1,4.829938E0
7.300000E1,1.096073E1,4.134328E0
7.400000E1,1.095547E1,3.674491E0
7.500000E1,1.095020E1,5.463548E0
7.600000E1,1.094494E1,6.517363E0
7.700000E1,1.093968E1,5.938610E0
7.800000E1,1.093442E1,4.925970E0
7.900000E1,1.092916E1,5.732575E0
8.000000E1,1.092390E1,6.665437E0
8.100000E1,1.091864E1,4.564579E0
8.200000E1,1.091337E1,5.496384E0
8.300000E1,1.090811E1,4.440136E0
8.400000E1,1.090285E1,6.513721E0
8.500000E1,1.089759E1,7.087079E0
8.600000E1,1.089233E1,4.567713E0
8.700000E1,1.088707E1,4.536660E0
8.800000E1,1.088180E1,4.711037E0
8.900000E1,1.087654E1,8.039262E0
9.000000E1,1.087128E1,4.155184E0
9.100000E1,1.086602E1,4.660561E0
9.200000E1,1.086076E1,6.408923E0
9.300000E1,1.085550E1,7.715773E0
9.400000E1,1.085023E1,7.340507E0
9.500000E1,1.084497E1,5.433365E0
9.600000E1,1.083971E1,6.460336E0
9.700000E1,1.083445E1,6.029291E0
9.800000E1,1.082919E1,5.529288E0
9.900000E1,1.082393E1,6.486399E0
1.000000E2,1.081866E1,6.934077E0
1.010000E2,1.081340E1,6.106350E0
1.020000E2,1.080814E1,6.474240E0
1.030000E2,1.080288E1,6.560133E0
1.040000E2,1.079762E1,5.532929E0
1.050000E2,1.079236E1,6.576031E0
1.060000E2,1.078709E1,8.602327E0
1.070000E2,1.078183E1,7.779995E0
1.080000E2,1.077657E1,6.695400E0
1.090000E2,1.077131E1,5.854671E0
1.100000E2,1.076605E1,4.712666E0
1.110000E2,1.076079E1,5.329596E0
1.120000E2,1.075552E1,6.152726E0
1.130000E2,1.075026E1,7.789202E0
1.140000E2,1.074500E1,5.767412E0
1.150000E2,1.073974E1,6.811533E0
1.160000E2,1.073448E1,6.620133E0
1.170000E2,1.072922E1,7.279119E0
1.180000E2,1.072396E1,6.337655E0
1.190000E2,1.071869E1,6.688562E0
1.200000E2,1.071343E1,7.012132E0
1.210000E2,1.070817E1,5.020717E0
1.220000E2,1.070291E1,6.916303E0
1.230000E2,1.069765E1,5.737767E0
1.240000E2,1.069239E1,3.814660E0
1.250000E2,1.068712E1,5.215698E0
1.260000E2,1.068186E1,7.742949E0
1.270000E2,1.067660E1,6.749767E0
1.280000E2,1.067134E1,6.788828E0
1.290000E2,1.066608E1,6.064977E0
1.300000E2,1.066082E1,5.595455E0
1.310000E2,1.065555E1,6.270381E0
1.320000E2,1.065029E1,4.778164E0
1.330000E2,1.064503E1,5.177873E0
1.340000E2,1.063977E1,6.083881E0
1.350000E2,1.063451E1,5.911720E0
1.360000E2,1.062925E1,4.254198E0
1.370000E2,1.062398E1,6.088230E0
1.380000E2,1.061872E1,7.817690E0
1.390000E2,1.061346E1,7.062558E0
1.400000E2,1.060820E1,5.826171E0
1.410000E2,1.060294E1,4.720035E0
1.420000E2,1.059768E1,6.747040E0
1.430000E2,1.059241E1,6.456036E0
1.440000E2,1.058715E1,5.318637E0
1.450000E2,1.058189E1,4.990360E0
1.460000E2,1.057663E1,5.524863E0
1.470000E2,1.057137E1,5.847396E0
1.480000E2,1.056611E1,5.133709E0
1.490000E2,1.056084E1,5.841835E0
1.500000E2,1.055558E1,6.593217E0
1.510000E2,1.055032E1,6.676859E0
1.520000E2,1.054506E1,5.756174E0
1.530000E2,1.053980E1,6.641822E0
1.540000E2,1.053454E1,7.534456E0
1.550000E2,1.052927E1,6.435264E0
1.560000E2,1.052401E1,6.558998E0
1.570000E2,1.051875E1,6.661577E0
1.580000E2,1.051349E1,6.329061E0
1.590000E2,1.050823E1,7.756942E0
1.600000E2,1.050297E1,6.375366E0
1.610000E2,1.049771E1,5.009214E0
1.620000E2,1.049244E1,4.720606E0
1.630000E2,1.048718E1,4.941103E0
1.640000E2,1.048192E1,6.396430E0
1.650000E2,1.047666E1,4.958733E0
1.660000E2,1.047140E1,4.493301E0
1.670000E2,1.046614E1,3.895269E0
1.680000E2,1.046087E1,5.452039E0
1.690000E2,1.045561E1,5.029218E0
1.700000E2,1.045035E1,3.707546E0
1.710000E2,1.044509E1,4.818705E0
1.720000E2,1.043983E1,4.409189E0
1.730000E2,1.043457E1,5.851550E0
1.740000E2,1.042930E1,6.260384E0
1.750000E2,1.042404E1,6.045403E0
1.760000E2,1.041878E1,5.231308E0
1.770000E2,1.041352E1,4.944155E0
1.780000E2,1.040826E1,5.057764E0
1.790000E2,1.040300E1,6.167838E0
1.800000E2,1.039773E1,4.401423E0
1.810000E2,1.039247E1,3.949787E0
1.820000E2,1.038721E1,6.658373E0
1.830000E2,1.038195E1,7.417519E0
1.840000E2,1.037669E1,5.826691E0
1.850000E2,1.037143E1,5.509460E0
1.860000E2,1.036616E1,5.085349E0
1.870000E2,1.036090E1,6.060192E0
1.880000E2,1.035564E1,5.530446E0
1.890000E2,1.035038E1,8.395169E0
1.900000E2,1.034512E1,4.837085E0
1.910000E2,1.033986E1,5.883913E0
1.920000E2,1.033459E1,6.789300E0
1.930000E2,1.032933E1,5.422547E0
1.940000E2,1.032407E1,5.616815E0
1.950000E2,1.031881E1,6.492389E0
1.960000E2,1.031355E1,5.238745E0
1.970000E2,1.030829E1,5.544612E0
1.980000E2,1.030302E1,6.580158E0
1.990000E2,1.029776E1,5.887521E0
2.000000E2,1.029250E1,6.434202E0
2.010000E2,1.028724E1,7.417779E0
2.020000E2,1.028198E1,7.730717E0
2.030000E2,1.027672E1,7.564339E0
2.040000E2,1.027146E1,7.374224E0
2.050000E2,1.026619E1,6.594704E0
2.060000E2,1.026093E1,7.582027E0
2.070000E2,1.025567E1,7.535196E0
2.080000E2,1.025041E1,7.304302E0
2.090000E2,1.024515E1,6.309914E0
2.100000E2,1.023989E1,6.708411E0
2.110000E2,1.023462E1,4.293504E0
2.120000E2,1.022936E1,3.791974E0
2.130000E2,1.022410E1,5.659282E0
2.140000E2,1.021884E1,5.918659E0
2.150000E2,1.021358E1,6.196221E0
2.160000E2,1.020832E1,5.953128E0
2.170000E2,1.020305E1,6.478348E0
2.180000E2,1.019779E1,5.925368E0
2.190000E2,1.019253E1,5.759187E0
2.200000E2,1.018727E1,5.360001E0
2.210000E2,1.018201E1,6.546386E0
2.220000E2,1.017675E1,4.681732E0
2.230000E2,1.017148E1,7.601131E0
2.240000E2,1.016622E1,7.476301E0
2.250000E2,1.016096E1,8.234247E0
2.260000E2,1.015570E1,7.844094E0
2.270000E2,1.015044E1,7.154243E0
2.280000E2,1.014518E1,7.075880E0
2.290000E2,1.013991E1,6.673834E0
