	profile_A
n,x,luma
0.000000E0,2.221260E1,5.352539E0
1.000000E0,2.220192E1,5.664984E0
2.000000E0,2.219125E1,5.944884E0
3.000000E0,2.218057E1,5.510213E0
4.000000E0,2.216989E1,5.219885E0
5.000000E0,2.215922E1,4.940286E0
6.000000E0,2.214854E1,3.376802E0
7.000000E0,2.213786E1,4.477142E0
8.000000E0,2.212719E1,6.044517E0
9.000000E0,2.211651E1,6.560962E0
1.000000E1,2.210583E1,5.637804E0
1.100000E1,2.209516E1,5.516690E0
1.200000E1,2.208448E1,5.065640E0
1.300000E1,2.207380E1,4.824777E0
1.400000E1,2.206313E1,5.646113E0
1.500000E1,2.205245E1,6.362973E0
1.600000E1,2.204178E1,6.119290E0
1.700000E1,2.203110E1,5.279789E0
1.800000E1,2.202042E1,5.756937E0
1.900000E1,2.200975E1,5.007537E0
2.000000E1,2.199907E1,4.985333E0
2.100000E1,2.198839E1,4.038355E0
2.200000E1,2.197772E1,5.279508E0
2.300000E1,2.196704E1,6.038368E0
2.400000E1,2.195636E1,5.170309E0
2.500000E1,2.194569E1,5.959502E0
2.600000E1,2.193501E1,5.785541E0
2.700000E1,2.192433E1,5.577967E0
2.800000E1,2.191366E1,4.471525E0
2.900000E1,2.190298E1,3.509462E0
3.000000E1,2.189230E1,3.884094E0
3.100000E1,2.188163E1,3.568178E0
3.200000E1,2.187095E1,3.797509E0
3.300000E1,2.186027E1,4.535506E0
3.400000E1,2.184960E1,4.386866E0
3.500000E1,2.183892E1,4.901621E0
3.600000E1,2.182824E1,4.745381E0
3.700000E1,2.181757E1,4.777435E0
3.800000E1,2.180689E1,5.201026E0
3.900000E1,2.179621E1,6.262076E0
4.000000E1,2.178554E1,5.429777E0
4.100000E1,2.177486E1,4.365573E0
4.200000E1,2.176418E1,4.003269E0
4.300000E1,2.175351E1,3.511491E0
4.400000E1,2.174283E1,4.370233E0
4.500000E1,2.173215E1,5.925096E0
4.600000E1,2.172148E1,5.341454E0
4.700000E1,2.171080E1,5.417087E0
4.800000E1,2.170012E1,6.548466E0
4.900000E1,2.168945E1,6.557126E0
5.000000E1,2.167877E1,4.462690E0
5.100000E1,2.166809E1,4.245199E0
5.200000E1,2.165742E1,5.096405E0
5.300000E1,2.164674E1,5.513874E0
5.400000E1,2.163606E1,4.400999E0
5.500000E1,2.162539E1,4.348673E0
5.600000E1,2.161471E1,5.225705E0
5.700000E1,2.160403E1,4.374140E0
5.800000E1,2.159336E1,3.858914E0
5.900000E1,2.158268E1,4.170118E0
6.000000E1,2.157200E1,4.181893E0
6.100000E1,2.156133E1,5.186161E0
6.200000E1,2.155065E1,6.168689E0
6.300000E1,2.153997E1,4.809596E0
6.400000E1,2.152930E1,4.167061E0
6.500000E1,2.151862E1,5.398127E0
6.600000E1,2.150794E1,5.895425E0
6.700000E1,2.149727E1,5.574809E0
6.800000E1,2.148659E1,4.915940E0
6.900000E1,2.147591E1,5.566196E0
7.000000E1,2.146524E1,5.788229E0
7.100000E1,2.145456E1,6.392459E0
7.200000E1,2.144388E1,7.754308E0
7.300000E1,2.143321E1,7.471820E0
7.400000E1,2.142253E1,4.959018E0
7.500000E1,2.141186E1,5.760372E0
7.600000E1,2.140118E1,5.546827E0
7.700000E1,2.139050E1,5.763312E0
7.800000E1,2.137983E1,5.190294E0
7.900000E1,2.136915E1,5.432700E0
8.000000E1,2.135847E1,5.436696E0
8.100000E1,2.134780E1,6.277776E0
8.200000E1,2.133712E1,5.636048E0
8.300000E1,2.132644E1,7.132618E0
8.400000E1,2.131577E1,6.933153E0
8.500000E1,2.130509E1,5.963032E0
8.600000E1,2.129441E1,6.407874E0
8.700000E1,2.128374E1,6.002451E0
8.800000E1,2.127306E1,5.584049E0
8.900000E1,2.126238E1,6.229308E0
9.000000E1,2.125171E1,6.116633E0
9.100000E1,2.124103E1,5.871527E0
9.200000E1,2.123035E1,5.135008E0
9.300000E1,2.121968E1,6.012219E0
9.400000E1,2.120900E1,7.155138E0
9.500000E1,2.119832E1,6.909321E0
9.600000E1,2.118765E1,5.516280E0
9.700000E1,2.117697E1,5.474427E0
9.800000E1,2.116629E1,5.798026E0
9.900000E1,2.115562E1,5.691452E0
1.000000E2,2.114494E1,6.237765E0
1.010000E2,2.113426E1,5.397798E0
1.020000E2,2.112359E1,6.443412E0
1.030000E2,2.111291E1,7.208020E0
1.040000E2,2.110223E1,6.267204E0
1.050000E2,2.109156E1,5.589209E0
1.060000E2,2.108088E1,6.661516E0
1.070000E2,2.107020E1,7.966446E0
1.080000E2,2.105953E1,5.264022E0
1.090000E2,2.104885E1,3.743380E0
1.100000E2,2.103817E1,5.199208E0
1.110000E2,2.102750E1,5.816134E0
1.120000E2,2.101682E1,5.674812E0
1.130000E2,2.100614E1,5.188907E0
1.140000E2,2.099547E1,6.675239E0
1.150000E2,2.098479E1,7.314902E0
1.160000E2,2.097411E1,8.097989E0
1.170000E2,2.096344E1,6.545781E0
1.180000E2,2.095276E1,6.229134E0
1.190000E2,2.094208E1,7.393664E0
1.200000E2,2.093141E1,6.333286E0
1.210000E2,2.092073E1,4.593633E0
1.220000E2,2.091005E1,5.144258E0
1.230000E2,2.089938E1,6.793445E0
1.240000E2,2.088870E1,5.678685E0
1.250000E2,2.087802E1,5.872510E0
1.260000E2,2.086735E1,7.536490E0
1.270000E2,2.085667E1,6.768676E0
1.280000E2,2.084599E1,7.393640E0
1.290000E2,2.083532E1,6.066947E0
1.300000E2,2.082464E1,5.706435E0
1.310000E2,2.081396E1,6.807284E0
1.320000E2,2.080329E1,7.297705E0
1.330000E2,2.079261E1,7.518544E0
1.340000E2,2.078193E1,7.931905E0
1.350000E2,2.077126E1,8.516044E0
1.360000E2,2.076058E1,6.565668E0
1.370000E2,2.074991E1,5.244659E0
1.380000E2,2.073923E1,6.471285E0
1.390000E2,2.072855E1,6.474169E0
1.400000E2,2.071788E1,6.927127E0
1.410000E2,2.070720E1,7.554825E0
1.420000E2,2.069652E1,6.720290E0
1.430000E2,2.068585E1,5.662383E0
1.440000E2,2.067517E1,7.457132E0
1.450000E2,2.066449E1,7.429341E0
1.460000E2,2.065382E1,6.604637E0
1.470000E2,2.064314E1,7.162084E0
1.480000E2,2.063246E1,7.666473E0
1.490000E2,2.062179E1,7.449877E0
1.500000E2,2.061111E1,1.003802E1
1.510000E2,2.060043E1,1.040455E1
1.520000E2,2.058976E1,8.566024E0
1.530000E2,2.057908E1,8.859542E0
1.540000E2,2.056840E1,8.180266E0
1.550000E2,2.055773E1,8.284751E0
1.560000E2,2.054705E1,7.998508E0
1.570000E2,2.053637E1,7.581455E0
1.580000E2,2.052570E1,7.749653E0
1.590000E2,2.051502E1,8.538245E0
1.600000E2,2.050434E1,8.636208E0
1.610000E2,2.049367E1,9.013295E0
1.620000E2,2.048299E1,7.329793E0
