	profile_A
n,x,luma
0.000000E0,1.142510E1,4.736785E0
1.000000E0,1.141965E1,4.711418E0
2.000000E0,1.141420E1,5.704660E0
3.000000E0,1.140875E1,5.833164E0
4.000000E0,1.140330E1,6.437495E0
5.000000E0,1.139785E1,5.737651E0
6.000000E0,1.139240E1,5.732756E0
7.000000E0,1.138695E1,6.271510E0
8.000000E0,1.138150E1,5.693574E0
9.000000E0,1.137606E1,6.688245E0
1.000000E1,1.137061E1,5.582431E0
1.100000E1,1.136516E1,5.253774E0
1.200000E1,1.135971E1,5.495462E0
1.300000E1,1.135426E1,6.146181E0
1.400000E1,1.134881E1,5.094227E0
1.500000E1,1.134336E1,4.747814E0
1.600000E1,1.133791E1,5.056837E0
1.700000E1,1.133246E1,6.589292E0
1.800000E1,1.132701E1,6.311889E0
1.900000E1,1.132156E1,4.790937E0
2.000000E1,1.131611E1,5.756325E0
2.100000E1,1.131066E1,6.402949E0
2.200000E1,1.130521E1,6.192808E0
2.300000E1,1.129976E1,4.939614E0
2.400000E1,1.129431E1,4.836330E0
2.500000E1,1.128886E1,5.496580E0
2.600000E1,1.128341E1,4.178930E0
2.700000E1,1.127796E1,4.588549E0
2.800000E1,1.127251E1,5.837645E0
2.900000E1,1.126707E1,6.329338E0
3.000000E1,1.126162E1,6.743087E0
3.100000E1,1.125617E1,6.687815E0
3.200000E1,1.125072E1,6.062506E0
3.300000E1,1.124527E1,5.892986E0
3.400000E1,1.123982E1,5.366573E0
3.500000E1,1.123437E1,4.294155E0
3.600000E1,1.122892E1,3.249941E0
3.700000E1,1.122347E1,5.503586E0
3.800000E1,1.121802E1,5.863535E0
3.900000E1,1.121257E1,5.819507E0
4.000000E1,1.120712E1,4.852148E0
4.100000E1,1.120167E1,4.137212E0
4.200000E1,1.119622E1,5.258897E0
4.300000E1,1.119077E1,5.415737E0
4.400000E1,1.118532E1,6.204007E0
4.500000E1,1.117987E1,5.179329E0
4.600000E1,1.117442E1,5.328447E0
4.700000E1,1.116897E1,5.849152E0
4.800000E1,1.116353E1,6.141999E0
4.900000E1,1.115808E1,6.248139E0
5.000000E1,1.115263E1,7.203834E0
5.100000E1,1.114718E1,5.840926E0
5.200000E1,1.114173E1,4.827570E0
5.300000E1,1.113628E1,5.793275E0
5.400000E1,1.113083E1,5.942165E0
5.500000E1,1.112538E1,6.292163E0
5.600000E1,1.111993E1,7.059272E0
5.700000E1,1.111448E1,5.957299E0
5.800000E1,1.110903E1,5.899051E0
5.900000E1,1.110358E1,5.780405E0
6.000000E1,1.109813E1,5.042836E0
6.100000E1,1.109268E1,5.591157E0
6.200000E1,1.108723E1,5.367464E0
6.300000E1,1.108178E1,5.483616E0
6.400000E1,1.107633E1,7.145643E0
6.500000E1,1.107088E1,8.070391E0
6.600000E1,1.106543E1,6.361072E0
6.700000E1,1.105999E1,5.286922E0
6.800000E1,1.105454E1,5.064040E0
